bucket_id,parent_id,level,n_train,n_val,BAC,F1,AUC,Regret,BND_ratio,POS_coverage,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,baseline_precision,baseline_recall,baseline_f1,baseline_bac,baseline_auc,baseline_mcc,baseline_kappa,baseline_regret,baseline_bnd_ratio,baseline_pos_coverage
ROOT,,0,3645,1561,0.7703176177364843,0.7320754716981133,0.9275638432529068,0.143818065342729,0.1140294682895579,0.2568866111467008,f1_regret_bnd,0.5312426722106053,-0.1410428662827895,0.6722855384933948,False,ROOT,,,,,,,,,,
L1_age=mid,ROOT,1,952,450,0.7557614826752619,0.6993006993006994,0.9174214343271556,0.1177777777777777,0.0755555555555555,0.1288888888888889,f1_regret_bnd,0.5437451437451438,0.5312426722106053,0.0125024715345385,False,L1_age=mid,0.8045454545454546,0.5566037735849056,0.6579925650557621,0.7628342608931722,0.9188453011175964,0.6108296719211528,0.5965616752077065,0.13378220140515223,0.1680327868852459,0.1288056206088993
L1_age=old,ROOT,1,1246,606,0.7337244222742543,0.7397959183673469,0.910948793647562,0.1666666666666666,0.1666666666666666,0.3366336633663366,f1_regret_bnd,0.489795918367347,0.5312426722106053,-0.0414467538432583,True,ROOT,0.7824858757062146,0.712082262210797,0.7456258411843876,0.8016626000319522,0.9059731420562648,0.6173718982005656,0.6158073894811353,0.18334092980856884,0.2219690063810392,0.3226982680036463
L1_age=very_old,ROOT,1,720,308,0.6869011213047911,0.6904761904761906,0.8719673802242608,0.1996753246753246,0.1753246753246753,0.2532467532467532,f1_regret_bnd,0.4031385281385282,0.5312426722106053,-0.128104144072077,True,ROOT,0.7541766109785203,0.7053571428571429,0.7289504036908881,0.7933467741935485,0.8885522959183674,0.5967699537183098,0.5960279433817344,0.1969984802431611,0.22492401215805471,0.3183890577507599
L1_age=young,ROOT,1,805,341,0.5,0.0,0.7859960552268245,0.0131964809384164,0.0,0.0,f1_regret_bnd,-0.0131964809384164,0.5312426722106053,-0.5444391531490217,True,ROOT,0.9,0.375,0.5294117647058825,0.6871066089693155,0.9476134277471806,0.5765619207548747,0.5242250287026406,0.01756756756756757,0.010810810810810811,0.007722007722007722
L1_age=mid|L2_education=high,L1_age=mid,2,479,199,0.7117617988633556,0.7008547008547009,0.8910303928836175,0.1796482412060301,0.1708542713567839,0.3015075376884422,f1_regret_bnd,0.4357793239702788,0.5437451437451438,-0.107965819774865,True,L1_age=mid,0.7721518987341772,0.580952380952381,0.6630434782608696,0.7616761904761905,0.9122971428571428,0.5797236027618278,0.5702307820023245,0.1655688622754491,0.21676646706586827,0.18922155688622755
L1_age=mid|L2_education=low,L1_age=mid,2,110,55,0.4937888198757764,0.0,0.796583850931677,0.0303030303030303,0.0242424242424242,0.0,f1_regret_bnd,,0.5437451437451438,,True,L1_age=mid,0.0,0.0,0.0,1.0,,0.0,,0.007142857142857143,0.02857142857142857,0.0
L1_age=mid|L2_education=mid,L1_age=mid,2,383,170,0.643640350877193,0.5,0.9364035087719298,0.0941176470588235,0.0705882352941176,0.0352941176470588,f1_regret_bnd,0.3705882352941176,0.5437451437451438,-0.1731569084510261,True,L1_age=mid,1.0,0.2033898305084746,0.33802816901408456,0.6016949152542372,0.8500554882970137,0.4359983126724935,0.3194612261067644,0.10465116279069768,0.12038303693570451,0.016415868673050615
L1_age=mid|L2_education=top,L1_age=mid,2,96,126,0.7807017543859649,0.796875,0.8957538774472412,0.1785714285714285,0.0476190476190476,0.5634920634920635,f1_regret_bnd,0.5944940476190476,0.5437451437451438,0.0507489038739037,False,L1_age=mid|L2_education=top,0.86,0.8775510204081632,0.8686868686868686,0.8784306826178747,0.9521463757916959,0.7557983571757138,0.755664851572106,0.1261682242990654,0.1588785046728972,0.4672897196261682
L1_age=old|L2_education=high,L1_age=old,2,591,263,0.7264845309381237,0.7592592592592592,0.8958957085828343,0.1901140684410646,0.1444866920152091,0.4562737642585551,f1_regret_bnd,0.49690184481059,0.489795918367347,0.007105926443243,False,L1_age=old|L2_education=high,0.7546728971962616,0.7727272727272727,0.7635933806146571,0.8045879354290569,0.8940884496713322,0.6067613711826992,0.6066440054030786,0.19221698113207547,0.2018867924528302,0.4037735849056604
